map,label,action,score,signals_json
BattleColosseum_2P,BattleColosseum_2P_MapScripts,KEEP,0,{}
BattleColosseum_4P,BattleColosseum_4P_MapScripts,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_MapScripts,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_OnReturnToField,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_OnTransition,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_HideDeoxysAndPuzzle,STUB,10,"{""story_flags"": [""HIDE_"", ""HIDE_""]}"
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_TryShowDeoxysPuzzle,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_OnResume,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_TryRemoveDeoxys,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_Triangle,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_NotSolved1,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_NotSolved2,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_NotSolved3,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_Deoxys,STUB,8.5,"{""story_flags"": [""SYS_""], ""cutscene_movement"": [""applymovement""], ""cutscene_control"": [""playbgm""], ""delays"": {""matches"": [""40""], ""total"": 40}}"
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_DefeatedDeoxys,KEEP,0,{}
BirthIsland_Exterior,BirthIsland_Exterior_EventScript_RanFromDeoxys,KEEP,0,{}
BirthIsland_Harbor,BirthIsland_Harbor_MapScripts,KEEP,0,{}
BirthIsland_Harbor,BirthIsland_Harbor_EventScript_Sailor,KEEP,0,{}
CeladonCity,CeladonCity_MapScripts,KEEP,0,{}
CeladonCity,CeladonCity_OnTransition,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_LittleGirl,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_OldMan1,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_Woman,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_OldMan2,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_SoftboiledTutor,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_FatMan,KEEP,0.5,"{""cutscene_movement"": [""applymovement""]}"
CeladonCity,CeladonCity_EventScript_Poliwrath,KEEP,0.5,"{""cutscene_movement"": [""applymovement""]}"
CeladonCity,CeladonCity_EventScript_RocketGrunt1,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_RocketGrunt2,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_Boy,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_SilphCoScientist,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_TrainerTips1,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_CitySign,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_GymSign,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_MansionSign,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_DeptStoreSign,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_TrainerTips2,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_PrizeExchangeSign,KEEP,0,{}
CeladonCity,CeladonCity_EventScript_GameCornerSign,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_MapScripts,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_TeaWoman,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_TeaWomanAfterTea,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_TeaWomanMentionDaisy,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_Meowth,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_Clefairy,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_Nidoran,KEEP,0,{}
CeladonCity_Condominiums_1F,CeladonCity_Condominiums_1F_EventScript_SuiteSign,KEEP,0,{}
CeladonCity_Condominiums_2F,CeladonCity_Condominiums_2F_MapScripts,KEEP,0,{}
CeladonCity_Condominiums_2F,CeladonCity_Condominiums_2F_EventScript_MeetingRoomSign,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_MapScripts,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Programmer,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_GraphicArtist,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Writer,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Designer,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_CompletedPokedex,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_ShowDiploma,REVIEW,3,"{""delays"": {""matches"": [""60""], ""total"": 60}}"
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_DevelopmentRoomSign,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Computer1,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Computer2,KEEP,0,{}
CeladonCity_Condominiums_3F,CeladonCity_Condominiums_3F_EventScript_Computer3,KEEP,0,{}
CeladonCity_Condominiums_Roof,CeladonCity_Condominiums_Roof_MapScripts,KEEP,0,{}
CeladonCity_Condominiums_Roof,CeladonCity_Condominiums_Roof_EventScript_Sign,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_MapScripts,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_BlackBelt,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_EeveeBall,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_GetEeveeParty,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_GetEeveePC,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_TransferEeveeToPC,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_SetGotEevee,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_TMsPamphlet,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_Blackboard,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_ReadAnotherHeading,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_WirelessClub,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_DirectCorner,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_UnionRoom,KEEP,0,{}
CeladonCity_Condominiums_RoofRoom,CeladonCity_Condominiums_RoofRoom_EventScript_ExitBlackboard,KEEP,0,{}
CeladonCity_DepartmentStore_1F,CeladonCity_DepartmentStore_1F_MapScripts,KEEP,0,{}
CeladonCity_DepartmentStore_1F,CeladonCity_DepartmentStore_1F_EventScript_Receptionist,KEEP,0,{}
CeladonCity_DepartmentStore_1F,CeladonCity_DepartmentStore_1F_EventScript_LayoutSign,KEEP,0,{}
CeladonCity_DepartmentStore_1F,CeladonCity_DepartmentStore_1F_EventScript_FloorSign,KEEP,0,{}
CeladonCity_DepartmentStore_2F,CeladonCity_DepartmentStore_2F_MapScripts,KEEP,0,{}
